Timestamp,AAPL,GOOGL,MSFT,NVDA
2024-08-21 11:30:00,225.9611,165.2078,422.33,127.5493
2024-08-21 12:00:00,225.9911,165.3576,423.06,127.664
2024-08-21 12:30:00,226.1709,165.3726,423.47,127.9743
2024-08-21 13:00:00,225.7514,165.1279,423.975,127.7693
2024-08-21 13:30:00,225.9012,165.7671,423.91,128.2652
2024-08-21 14:00:00,226.2008,165.9169,424.19,129.0952
2024-08-21 14:30:00,226.1669,165.6422,424.09,128.2652
2024-08-21 15:00:00,225.5216,165.2565,423.2306,128.2052
2024-08-21 15:30:00,226.1109,165.6272,424.1,128.4392
2024-08-21 16:00:00,226.3506,165.6572,423.195,128.2192
2024-08-21 16:30:00,226.4006,165.7171,423.39,128.4592
2024-08-21 17:00:00,226.3607,165.6872,423.3,128.3892
2024-08-21 17:30:00,226.4169,165.7171,423.18,128.3292
2024-08-21 18:00:00,226.4905,165.9661,423.89,128.4492
2024-08-21 18:30:00,226.4356,165.8669,424.09,128.4592
2024-08-21 19:00:00,226.4256,165.797,423.9,128.4592
2024-08-21 19:30:00,226.3905,165.8489,424.2,128.4892
2024-08-22 09:00:00,227.5993,167.0753,424.36,129.9991
2024-08-22 09:30:00,227.6792,166.5959,425.545,129.8791
2024-08-22 10:00:00,226.5305,166.0667,423.8001,129.1385
2024-08-22 10:30:00,226.5355,165.6172,421.51,128.3492
2024-08-22 11:00:00,225.9311,165.4206,419.28,127.8543
2024-08-22 11:30:00,225.2619,164.8183,418.0499,125.5995
2024-08-22 12:00:00,226.1809,165.6972,419.9315,126.5644
2024-08-22 12:30:00,225.2569,164.8982,417.07,125.6994
2024-08-22 13:00:00,225.3967,164.5901,416.4533,126.1884
2024-08-22 13:30:00,224.1431,163.8796,415.03,124.3665
2024-08-22 14:00:00,224.6125,164.4488,416.5473,124.8846
2024-08-22 14:30:00,224.1531,164.1692,415.4025,124.1096
2024-08-22 15:00:00,224.0732,164.0294,414.83,123.4996
2024-08-22 15:30:00,224.2829,163.56,415.62,123.8196
2024-08-22 16:00:00,224.6026,163.7697,415.65,124.1596
2024-08-22 16:30:00,224.5626,163.8097,416.03,124.3496
2024-08-22 17:00:00,224.6625,163.8596,415.99,124.2696
2024-08-22 17:30:00,224.7924,163.9895,416.37,124.5795
2024-08-22 18:00:00,224.7624,163.8696,416.28,124.5595
2024-08-22 18:30:00,224.7731,163.8197,416.67,124.5195
2024-08-22 19:00:00,224.7524,163.779,416.25,124.5194
2024-08-22 19:30:00,224.8525,163.8992,416.74,124.5195
2024-08-23 09:00:00,225.5416,164.4688,416.98,125.8394
2024-08-23 09:30:00,226.7902,164.7584,417.24,127.399
2024-08-23 10:00:00,227.7242,165.6672,418.18,129.4741
2024-08-23 10:30:00,225.991,164.6386,414.93,127.9493
2024-08-23 11:00:00,225.7014,164.8633,415.509,128.7392
2024-08-23 11:30:00,225.5915,164.5986,414.635,128.1192
2024-08-23 12:00:00,224.8673,164.2491,412.85,127.5143
2024-08-23 12:30:00,225.0521,164.299,413.97,127.3592
2024-08-23 13:00:00,225.7164,164.7634,414.5005,127.9999
2024-08-23 13:30:00,225.9611,164.6386,414.48,128.1542
2024-08-23 14:00:00,226.2035,164.6685,414.695,128.6592
2024-08-23 14:30:00,226.2208,164.8083,414.4,128.2695
2024-08-23 15:00:00,226.8102,165.5873,416.2,128.8261
2024-08-23 15:30:00,226.5241,165.4075,416.58,129.2691
2024-08-23 16:00:00,226.6703,165.4475,416.9,129.2092
2024-08-23 16:30:00,226.7103,165.5474,416.725,129.0392
2024-08-23 17:00:00,226.7003,165.4475,416.77,129.0892
2024-08-23 17:30:00,226.7003,165.4275,416.6099,129.1692
2024-08-23 18:00:00,226.8301,165.4974,416.4,129.3491
2024-08-23 18:30:00,226.8401,165.4774,416.69,129.3491
